City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Korla,CN,83.55,clear sky,41.7597,86.1469,Gulisitan Hotel
5,Bac Lieu,VN,79.59,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
11,Bydgoszcz,PL,77.56,clear sky,53.1235,18.0076,Słoneczny młyn
12,Cayenne,GF,87.84,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
17,Victoria,HK,88.32,light rain,22.2855,114.1577,Mini Hotel Central
18,Mayumba,GA,79.09,clear sky,-3.432,10.6554,LIKWALE LODGE
21,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
22,Faanui,PF,78.58,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Samana,DO,84.16,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
26,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Hami,CN,83.86,clear sky,42.8,93.45,Laoyutang Resort
33,Quang Ngai,VN,79.0,overcast clouds,15.1167,108.8,Central Hotel
34,Itarema,BR,84.78,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
35,Kieta,PG,78.04,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
36,Bengkulu,ID,75.61,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
38,Abyek,IR,85.66,clear sky,36.0667,50.55,kaspian sanat navrd sina(لوله مبلی سینا)
47,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
48,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
50,Hambantota,LK,84.54,scattered clouds,6.1241,81.1185,Bungalow 63
60,Butaritari,KI,83.28,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Ambilobe,MG,84.24,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
64,Port Keats,AU,78.37,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
65,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
