City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Morro Bay,US,35.3658,-120.8499,68.14,88,0,0.67,clear sky
1,Korla,CN,41.7597,86.1469,83.55,17,0,5.21,clear sky
2,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,93,40,5.75,scattered clouds
3,Punta Arenas,CL,-53.15,-70.9167,48.31,66,75,12.66,broken clouds
4,Ushuaia,AR,-54.8,-68.3,53.22,62,89,4.61,overcast clouds
5,Bac Lieu,VN,9.285,105.7244,79.59,84,69,12.46,light rain
6,Hovd,MN,48.0056,91.6419,66.51,33,1,3.42,clear sky
7,Yellowknife,CA,62.456,-114.3525,46.92,100,75,4.61,broken clouds
8,Severo-Kurilsk,RU,50.6789,156.125,52.14,89,33,12.75,scattered clouds
9,Hobart,AU,-42.8794,147.3294,57.06,54,75,4.0,broken clouds
10,Provideniya,RU,64.3833,-173.3,39.96,87,100,7.47,overcast clouds
11,Bydgoszcz,PL,53.1235,18.0076,77.56,41,0,6.91,clear sky
12,Cayenne,GF,4.9333,-52.3333,87.84,78,75,4.0,broken clouds
13,Sorland,NO,67.667,12.6934,51.87,71,90,17.27,overcast clouds
14,Ancud,CL,-41.8697,-73.8203,49.42,78,81,5.53,broken clouds
15,Berbera,SO,10.4396,45.0143,93.58,50,33,7.54,scattered clouds
16,Madimba,TZ,-10.4,40.3333,79.92,61,75,11.5,broken clouds
17,Victoria,HK,22.2855,114.1577,88.32,64,19,8.57,light rain
18,Mayumba,GA,-3.432,10.6554,79.09,73,8,11.36,clear sky
19,Quatre Cocos,MU,-20.2078,57.7625,72.09,70,39,14.99,scattered clouds
20,Ostrovskoye,RU,57.8057,42.2433,56.12,81,75,11.95,light rain
21,Saint-Pierre,RE,-21.3393,55.4781,76.68,57,0,10.36,clear sky
22,Faanui,PF,-16.4833,-151.75,78.58,78,18,15.88,light rain
23,Samana,DO,19.2056,-69.3369,84.16,83,40,0.0,scattered clouds
24,Hermanus,ZA,-34.4187,19.2345,64.9,66,82,6.31,broken clouds
25,Dongning,CN,44.0622,131.1207,56.61,95,0,1.95,clear sky
26,Kapaa,US,22.0752,-159.319,79.12,77,75,1.99,broken clouds
27,Isangel,VU,-19.55,169.2667,69.26,65,95,16.82,overcast clouds
28,Hami,CN,42.8,93.45,83.86,11,0,6.42,clear sky
29,Florianopolis,BR,-27.6146,-48.5012,65.43,83,75,13.8,broken clouds
30,Leningradskiy,RU,69.3833,178.4167,29.17,89,99,4.59,overcast clouds
31,Mahebourg,MU,-20.4081,57.7,72.25,68,40,12.66,scattered clouds
32,Busselton,AU,-33.65,115.3333,57.09,94,100,13.69,light rain
33,Quang Ngai,VN,15.1167,108.8,79.0,88,97,5.39,overcast clouds
