City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Champerico,GT,2021-09-02 14:53:31,14.3,-91.9167,89.73,78,83,6.55
1,Port Elizabeth,ZA,2021-09-02 14:53:32,-33.918,25.5701,70.11,88,75,14.97
2,Acarau,BR,2021-09-02 14:53:35,-2.8856,-40.12,88.74,52,12,16.17
3,Bredasdorp,ZA,2021-09-02 14:53:37,-34.5322,20.0403,67.28,72,100,19.57
4,Carolina,PR,2021-09-02 14:51:41,18.3808,-65.9574,89.73,65,40,9.22
5,Fortuna,US,2021-09-02 14:53:40,40.5982,-124.1573,50.99,73,90,3.0
6,Meulaboh,ID,2021-09-02 14:49:08,4.1363,96.1285,77.43,83,83,4.61
7,Leningradskiy,RU,2021-09-02 14:53:42,69.3833,178.4167,31.51,99,100,1.68
8,Butaritari,KI,2021-09-02 14:53:44,3.0707,172.7902,82.4,69,45,10.49
9,Hobart,AU,2021-09-02 14:52:38,-42.8794,147.3294,68.25,42,100,4.0
10,Souillac,MU,2021-09-02 14:53:46,-20.5167,57.5167,72.36,68,40,17.27
11,Chuy,UY,2021-09-02 14:53:49,-33.6971,-53.4616,61.29,96,100,5.91
12,Albany,US,2021-09-02 14:53:51,42.6001,-73.9662,69.31,68,0,8.79
13,Ribeira Brava,PT,2021-09-02 14:53:52,32.65,-17.0667,81.23,80,54,1.36
14,Iqaluit,CA,2021-09-02 14:53:54,63.7506,-68.5145,51.53,54,75,13.8
15,Kapaa,US,2021-09-02 14:53:56,22.0752,-159.319,80.92,73,75,1.99
16,Vinh,VN,2021-09-02 14:50:05,18.6667,105.6667,79.99,81,43,1.92
17,Tiarei,PF,2021-09-02 14:53:58,-17.5333,-149.3333,75.22,68,3,19.93
18,Palauig,PH,2021-09-02 14:54:00,15.435,119.9045,81.1,80,98,4.76
19,Ushuaia,AR,2021-09-02 14:54:01,-54.8,-68.3,40.62,70,0,5.75
20,Tanabe,JP,2021-09-02 14:51:02,33.7333,135.3667,79.93,80,97,3.98
21,Tabuk,PH,2021-09-02 14:54:04,17.4189,121.4443,74.7,92,97,2.91
22,Bela,IN,2021-09-02 14:54:05,25.9333,81.9833,87.15,67,100,3.65
23,Samagaltay,RU,2021-09-02 14:54:05,50.6022,95.0047,46.29,75,13,7.09
24,Tuatapere,NZ,2021-09-02 14:54:06,-46.1333,167.6833,38.82,74,72,5.97
25,Henties Bay,NA,2021-09-02 14:54:07,-22.116,14.2845,56.86,78,0,15.08
